",الخط الخاص بي قابل للاشتراك في الالياف البصرية الا انه الرابط يعلمني انى لا يمكن اهلية خطك الفيبر"
",يا اتصالات الجزائر ريڨلونا my idoom من بعد ساهل الحال"
",كي ندير طلب من الموقع ندخل في العرض الترويجي 500دج"
",""وايدوم كابل مافيهش شهر مجاني"
"زيد انا مداير تاع 20 ميڤا وهي تمشي 8ميڨا اش معنتها"""
",حي خناق الخربة بلدية بابور ولاية سطيف واكتاه تلحقها شبكة الأنترنت؟ على حسب العمل حتى عام 2050ومانعرف"
",وين راهو العرض هذا وحنا فالحي من شهر اوت بدون انترنت وبدون هاتف الأرضي"
",""My idoom لا يعمل."
"ام يعمل فقط بالويفي؟"""
",نسكن في الشرفة مكان والو لا كونكسيو لا والو راهي في الشهر"
",للاسف العرض سوف ينتهي و هناك من لم يسعفهم الحظ في الحصول عليه بسبب تاخر المشروع"
",وين راه الايام اضافية عند الدفع الكتروني راني نسالكم 3 سنوات"
",واكتاه توسعو الشبكة؟ إلى باقي المنازل"
",My idoom واش بيها ماهيش تمشي"
",معًا لِتَقَدُمٍ أفضل (بالتوفيق لكل الزملاء)"
",سرقولنا لكابل للمرة الثامنة نتوما مشكورين على كل حال باسكو ديما تخدمو فيه اما لازم حل"
",شكرا يااستاذ سعر لديسال غالي نقصوا ال أقل راهي الضروف صعبة"
",ديرولنا الفيبر خلي يلحقنا النمو حتى حنا"
",في ايدوم 4g الانترنت ضعيف جدا ماهو سبب"
",نريد تخفيضات في الأسعار الفيبر لأنها مرتفعة بالنسبة للمواطنين وشكرا"
",با التوفيق ان شاءالله عمل وعمل ناتي بنتائج"
",شهر بلا كونكسيو واش من تقدم راك تحكي عليه كابل ماقدرتوش تخدموه عندو شهر دخلت 2025 ومابان والوا"
",""داير طلب في 3 سنين قالولي لازم ندخلولك فيبر"
"منعونا باش نديرو الربط بالخيط العادي وقتاش ولا حتى نموتو"""
",تطبيق My Idoom من اتصالات الجزائر يعاني من توقف شبه كامل بعد التحديثات الأخيرة. من المفترض أن تكون شركة بحجم اتصالات الجزائر أكثر احترافية وتحرص على تقديم خدمات مستقرة للمستخدمين، خاصة مع الاعتماد الكبير على هذا التطبيق في تسهيل التعاملات. نأمل إصلاح المشكلة في أقرب وقت."
",رانا قريب في شهر منين ركبونا المودام مكان والو"
",""عندي المودام الويفي تاعو يروح و يجي ،ناهيك عن التغطية السيئة ،تزغد من قدامو التدفق يهبط كامل !"
"درت Réclamation بصح ما تبدل والو"""
",منا على عامين ولا 8 سنين كي يلحق لينا الدور تولي ب 5000دج"
",السلام عليكم عندي 3ايام لاتوجد إنترنت تشعل حمراء عندي فيبر"
",""السلام عليكم"
"من فظلكم IDOOM ADSL مافيهاش بروموسيو"""
",انتما تقولو 500ميقا واحنا عدنا مالحقدش 30ميقا وين راه المشكل بالرغم ان الخطوط كلها جديدة ؟؟؟؟؟؟"
",هل لديكم اجهزة 4G مودام"
",من فضلكم قمت بتسديد فاتورتين الهاتف الثابت و لا يزال الخط موقف ارجو منكم تسوية وضعيتي"
",انا زبون idoom adsl إشتراك 15 ميقا لكن أنترنت ضعيفة جدا وللعلم أنا علبة تبعد عني ب 250متر لا اعلم سبب عدم تعميم علب الحائط في الاحياء بلا منحكي على fiber"
",عندما تقومون بتعميمها نحن الألياف مارة بجوارنا الا أنه لم يتم ربطنا بها ومازلنا نعاني مع التقنية القديمة"
",جيبوهانا و من بعد ساهل"
",المشكل أنو نحن من قدم الأحياء لايوجد خدمة لافيبر وتركيب موجود في الأحياء الجديدة"
",""الخدمة وفرتوها للاحياء الجديدة فقط, اما حنا الاحياء القديمة نبقاو دايما بكابل النحاس"""
",وين الفيبر لاحياء قديمة لم يتم ربطها روحت ركبتوا في الاحياء جديد"
",""حنا مزالنا بالadsl و خسرتنا لنترنت و الفيكس ما يمشيش و عيطولي اليوم فتلفون قالولي دك نجو نخدمهوالك و مجاوش يخدموها عندي فايتا 20 يوم و انا ريكلامي كفكف ما يجوش يخدمو"
و جاو خطرا يخدمو للجيران لبروبلام و قالولي مراكمش مسينيالين

",سقسيت في الوكالة انتاعكم قالك لا يوجد اي مشروع لربط الحي بالفيبر رغم انه يقع بين حيين مربوطبين بالفيبر"
",صحيح على سبيل المثال حي عدل 1377 مسكن بئر الجير وهران من أول الأحياء لوكالة عدل بوهران ومزال يعني من رداءة التدفق adsl والأحياء الجديدة تمتاز ب idoom fibre..بل يطلب منا ٱستعمال vdsl والفرق ليس كبير...نريد idoom fibre من فضلكم."
",المشكل انو في الوكالة تروح تستفسر على الفيبر يقول لك حنا خاطينا الاوامر تجينا من المديرية العامة هاذي مفهمتهاش كيفاش مدير وكالة ماعلابالوش كيف تتم وتيرة الربط بالفيبر بالمختصر لازم تزيرو العمال تاعكم باش يخدمو خدمتهم هاكا 5 سنين ماشكيتش يوصلنا الفيبر"
",عندي شهرين ملي درت طلب لافيبر جيراني عندهم و انا مزال مجاو عندي ، رحت استفسرت اكثر من مرتين قالولي درك يجو راكم تتمسخرو بالناس"
",الانترنت راهي تمشي والموقع تاعكم يقولي لست مؤهل"
",C bien"
",""السلام تطبيق عندو مدة وهو متوقف ربي يهديكم"
"My idoom"""
",""حنا مزالنا بالadsl و خسرتنا لنترنت و الفيكس ما يمشيش و عيطولي اليوم فتلفون قالولي دك نجو نخدمهوالك و مجاوش يخدموها عندي فايتا 20 يوم و انا ريكلامي كفكف ما يجوش يخدمو"
و جاو خطرا يخدمو للجيران لبروبلام و قالولي مراكمش مسينيالين
"Algérie Télécom - إتصالا… En voir plus"""
",مكان لا اشتراك لا والو فات فيك تركبو برك ميبعتولكش انترنت انا مركبه في 15 اليوم مكاش انترنت"
",وفروها في قالمة رانا هرمنا و مكاين والو"
",لفيبر مخصص لطبقة البرجوازية فقط ...اما الشعب المغلوب او الغير محسوب الانترنت العادية لي تتقطع خسارة فينا"
",عرض جميل جدا ان شاءالله يركب عدنا وعصرنة ألياف البصرية ...راهم يخدمو في حيء غير يكملو نركب فيبرا"
",""Algérie Télécom"
- إتصالات
"الجزائرا اذا اشتركت بالعرض جديد يلزم عليا ندفع اشتراك على مدة عام؟"""
",.... على حساب الوتيرة هااذي لي رااكم مااشين بيهاا ، بربي يلحقناا الفيبر عاام 2077 ، وقتهاا بخرو بيه ... هههه يخي خدمة يخي"
",الإنترنيت عندها يومين منقطعة تماما!!!!!!!!"
",""Bravo"
"bonne continuation Algérie Télécom"""
",فايبر كارثة عندنا تخلص وتولي تتميزر مع كونكسيو"
",الفايبر تاني تخلص شهري حق الاشتراك ( الابولمو) ولى كي سموها"
",الى يومنا هذا مطلقتوليش انترنت مودام راكب راني في 24يوم"
",وين راهي هادي الفايبر رانا غير نسمعو بيها جامي شفنها"
",السلام عليكم من فضلكم الرد على الانشغال"
",طرسالة التأكيد المرسلة الى الايمايل لا تصل من أجل الدخول لتطبيق my idoom منذ تكثر من شهر"
",حنا في حي بن سعيد الجلفة ماشفنا والو لا مودام لا والو"
",Adsl و مقصوصة عندها شهرين"
",لا اتمكن من الولوج الى حسابي في الفضاء الزبون ولا حتى بفتح حساب جديد"
",بالتوفيق والسداد والنجاح والمزيد من التألق"
",بالتوفيق"
",سكان حي دلبوز، براقي، ولاية الجزائر الذي كانوا ضحية سريقة كابل الهاتف في شهر سبتمبر 2024 ينتظروا ربطهم بالفبر الذي انتهت اشغال التثبيت."
",وش عندكم عروض للمقاول الذاتي؟؟"
",ما هو الملف المطلوب ..."
",أنا في إنتضار إتصالكم لرفع التدفق"
",سلام عليكم عدنا اكثر من شهر ملي قدمنا الوثائق في الخيمة التي نصبت في حي عدل هراوة الى حد اليوم لا جديد يذكر شكرا"
",ريقلو ابليكاسيون تاعكم ولا خلونا نخدمو بالفيكس... بركاو ما كاتلينا بالخلتيع"
",رانا في أسبوع نتاصلو بيكم لتصليح العطب علل مستوى انقطاع كابل الإنترنت و لحد اليوم لا شيء يذكر و لم يتم تصليحه"
",ريقلو الإنترنيت في مودام 4 جي إتصالات الجزائر عندها 4 أيام منقطعة تماما ؟؟؟!!!!!!!!!! ومبعدين أطلقو العروض؟؟!!!!!!"
",واش راك نستنى ؟ رانا نستنو في الفيبر ! ها وفرولنا الفيبر"
",ننتظر تلحقنا التغطية في بلديتنا القديمة جدا"
",راني نسنى فيهم يجيو يخدمو الخيط الي تقطع ! الي يجي يطل ويروح!!"
",راني نستنا فيكم"
",نستنا يهديكم ربي وتجو دخلونا الانترنت رانا في 3 سنين نستناو"
",ببساطة، رانا نستناو فيكم"
",راه مشكل في الانترنت خويا في 5 ايام مكانش"
",عندي عام وانا حاط الانشغال وقتاه يتوفر المودام بولاية عنابة منذ حوالي سنة مكانش"
",نستنى فيكم"
",رانا نستناو تلحق لافيبر !!!!"
",جمعة مباركة عليكم"
",دائماً اقرب"
",""I love gaming!!"
"best wishes for a fantastic weekend Algeria Telecom!!"""
",انا كنت نفليكسي في شهر adsl 1600 حاليا فليكسيت بطاقة ذهبية ماكانش وش هو الحل هل نغير ايدوم فايبير"
",تفكرو جماعة idoom 4glte بعروض جميلة"
",كي ديروا ربط للناس ومن بعد روجوا للمشروع تاعكم"
",وصلوه للمنزل ومن بعد سهل"
",هشام خويا وينتا ديرو لينا فيبر"
",ركبنا لافيبر ومطلقتولناش الانترنت"
",هل متوفر في الوكالات على مستوى الوطن و هل تستطيع ان تضع فيه شريحة اتصالات الجزائر"
",ياك Wifi6 ولا راني غالط؟"
",اشتراك التود tod غالي ."
",لماذا لايتم مراجعة سعر لان 15الف دينار مرتفع جدا. لو يتم تسديد ثمنه بالتقسيط ويدخل مع ثمن اشتراك الانترنت هذا افضل وترتفع مبيعاتكم"
",اللي مايفليكسيش في جيزي و نحي البيس يقدر يمشيه غير بانترنت الثابت،مع تفعيا باقي التطبيقات"
",البطاقة لي فيه جيزي ولا اتصالات الجزائر ؟"
",هل هو 4g وهل مفيد في قرية نائية من حيث التغطية؟"
",درو واحد wifi 6 احسن أو wifi 7"
",يمشي غير باتصالات الجزائر عادي ولا لا"
",راه عندكم مشكل في الموقع نتاعكم لا استطيع دفع اشتراك الإنترنت بالبطاقة الذهبية"
",حي ديدوش مراد لوليروز مكانش الانترنت ڨاعدة تروح و تجي رانا مخلصين والانترت ومكانش والفيبر وقتاه"
",من فضلكم بعد ان قمت بطلب الاستفادة من هذا العرض عبر الانثرنيت، ما هي المدة التي يتم فيها التنفيذ ؟ شكرا"
",salam quelles sont les delais d'installation après payment des frais ? j'attends depuis plus de 5 jours ."
",ههه راني عارف كي راح تجو باش تركبو الفيبر حتى بعد هذا العرض"
",يا صديقي غير لحقولنا الفيبر بررررك"
",2 mois m li 7atina dossier aucune réponse"
",أنا دفعت ومكاين والو خدمة أكثر من رديئة"
",وينتا ديرو فيبر في البليدة رانا 4 اشهر و حنا نستناو"
",كي توصلوا للناس الشبكة تاعكم سع من بعد ديروا عروض"
",لم تصلنا هذه الشبكة رغما المسافة القريبة عن مقر الولاية"
",كم سعر الدفع ل3 اشهر سرعة 15 ميغا؟"
",ADSL و محبوش يركبولي وين حتى fibre تاعكم"
",""14 شهرا بدون انترنت !! و تتحدثون على """"الانطلاق"""" في الإنترنت السريع؟"
"في هاد الحال نتحسر على الماضي البطئ!"""
",استفدت من خدمة ايدوم فيبر لا كن بدون انترنت مع وميض أحمر على جهاز فيبر"
",شحال فاتورة الهاتف absl"
",""Reh kayen probleme fo modam 4G B310s"
Gae nass rehy habsa cnx endhom rehy fi 4 jour habsa 3ndii
"Etl9olna cnx"""
",حل لمشكلة مودام 4g LTE منذ اسبوع مكانش الشبكة"
",شبكات الفيبر ما زال ما لحقتش لنصف سكان الجزائر"
",ربي يعونكم"
",حنا عام و حنا نقولو بغينا انترنيت عام بلا هذه الخدمة بحي يحتوي على أكثر من 600 مسكن دون خدمة الانترنيت بالرغم من تسليم المفاتيح منذ عام"
",طلقولي كونكسيو راني شهر ملي ركبتولي مودام فايبر"
",الشهر الماضي عبيت مرتين 2500دج ببرنامج تعبئة و دفع لموديم كات جي ، تم الاقتطاع لم تحصل التعبئة . يعني راحت 5000 دج . لا اعلم هل تم الاسترجاع ام لا"
",La fibre optique cite les 800logement Yana marre vous avez dit décembre 2024"
",سقمونا فضاء الزبون تاع ماي إيدوم ماراهش يفتح"
",يا اتصلات الجزائر عندكم خاصية signaler un derangement في موقعكم لماذا لا يوجد اي رد"
",و لي يخلص عبر بريدي موب هل يستفيد من هذا العرض ؟"
",On ne veut pas me rétablir depuis 40h facture payée avant terme et ligne fonctionnelle voyant (aprés un incident general de 36h) LE SERVICE QUI A MIS EN PAUSE MA LIGNE NE PEUT LA RETABLIR !!! DOIT UN ARRET DE 76h"
",شكرا اتصالات الجزائر"
",نستنى فيكم تجو تصلحو الحالة ، رانا بلا كابل هادي مدة"
",حنا اشتركنا في سيمانة وخلصنا ولحد الآن مركبوناش مودام"
",كرهنا حياتنا شهر وحنا نجريو مكان والو"
",نستنى في ربط جهتنا بالفيبر"
",المدية حي ثنية الحجر نحن في الانتظار"
",حناا صحاب adsl قلبنا فيبر بصح شهر مكانش حتا خلصت من مفروض نستافدو من العرض"
",من اجل تركيب خط هاتف عادي مزود بانترنت في تيارت راني في أربعة أشهر كاملة ماكان والوا اتصالات الجزائر"
",بعد طلب الخط من اتصالات الجزائر الرغاية الجواب كان في 3 ايام حيث تم الربط و سرعة التدفق 500 ميڨا بي 50 الف برك في الشهر الأول، شكرا على الخدمة السريعة"
",رانا نستناو فيكم تلحقوهالنا....."
",ماتخلعوش شهر واحد يزيدك 03ايام فقط اما 48يوم اذا خلصت عام كامل"
",""نريد تخفيضات فالاسعار في الفيبر لأنها مرتفعة جدا بالنسبة للمواطنين."
"(طلب طال انتظاره )"""
",اتصالات الجزائر دائماً اقرب"
",دائرة البيرين ولاية الجلفة مودام 4ج متوقف عبر كامل المدنية يوجد خلل هدنا معاهم قالك ماعدنا مانديرولك"
",انا استعملت الدفع الالكتروني مدة شهر مزادو ولوا"
",من فضلكم انا خلصت وما طلقوهانش"
",2025 و مازال الانترنيت ثقيلة و تتقطع"
",أنا ديما نسلك ببريدي موب ولكن نلقى شهر نتاعي فقط"
",كم مبلغ الأشتراك الشهري idoom fibre ؟ هل هو 2000 دج أم 2200 دج ؟ شكرا"
",كاين حي وحيد في حمام الضلعة مستفيد من خدمة الفايبر وهو حي الحوران والباقي غير مستفيدين نطلب من اتصالات الجزائر ربط جميع السكان في بلدية حمام الضلعة بهذه الخدمة وشكرا"
",جاوبونا في بريفي من فضلكم"
",بلدية حمام الضلعة ولاية المسيلة رغم الكثافة السكانية الا انهم غير مستفيدين من خدمة الفايبر"
",تاع فيبر 300 نخلصها كل شهر 300 الف ولا نقدر نخلص كل 10 ايام ؟ هذي الحاجة متحتاجش اني نجيكم لاجونس"
",بلدية قسنطينة حي الامير عبد القادر يعاني بصمت بسبب عدم وجود الانترنت"
",نحن في انتظارالمصالح التقتيةلولاية غردايةلربط عدة أحياءمن بلدية بنورةولاية غرداية.شكرا"
",عندك ليمدوام فايبر"
",حنا ركبونا المودام ولالين تع التلفون كاينة نهدر بيها بصح الكونيكسيو انترنت مكاش مافهمتش الا نزيدو نخلصو باه يطلڨونا الانترنت ولا كيفاه كاش واحد يفهمنا"
",مودام 4G LTE كوناكسيو من صباح مكانش ماذا بيكم تريڨلو لبروبلام"
",""درت طلب اونلين عندي كترمن سمانة"
"ودوكا كي روحت للوكالة لي قدامي قالولي ماوش يبيعو"""
",عندي اكثر من 10 أيام و هو حابس شعلت حمراء رانا نستنو"
",سجلت فعرض 500 دج و مرت أسبوع ولا يوجد الشهر المجاني هذا كيف يفسر يعني"
",ايدوم فايبر الجديدة باه نجيب المودام اول خطرة هل لزم يكون عندك لالين تاع فيكس ولا ميسحقش لالين"
",كم تكلفة التحويل من adsl الى الالياف"
",خاصنا توفرولنا مودام 4g"
",""ليس عندي خط ثابث كيف اعرف متى تصلنا تقنية الفايبر"
"مع العلم ان الكابل الرئيسي قريب"""
",Algerie telecom BOUIRA-CENTRE a promis la mise en service de l'internet haut debit ( fibre) au niveau du nouveau pôle urbain 1800 logements ouled bellil avant la fin de l'année 2024!!!! Malgré que les équipements sont bien en place dans les immeubles … En voir plus"
",مزال ما وصلناش"
",عندما تتوفر سنحول حتى ولو ب 100 نقرة"
",علاش تتمسخرو بالناس عندي شحال وانا نروح تقولولي السمانة الجاية"
",ركبولنة وعندي تقريب شهر مطلقوناش"
",انا خلصت راني في شهرين ومزال مركبتوش المودام؟؟؟"
",من فضلكم انا راني من يوم السبت خلاصت ومازال ما طلڨوهاليش الانترنات"
",Ça fait 3 mois qu'on attend vos fameux Modem fibre mais hélas rien.a chaque fois que je lis vos publications je rend compte que c'est juste de la pur pub"
",عندي مشكل كل ما نخلص فاتورة الهاتف ما تنقصش راهي غير تزيد و كي رحتلهم ڤالولي ما علاباناش علاش و لا راك هادر بيها للخارج مع العلم ما تكلمتش بها ارجو الرد"
",شريت مودام وركبولى الفيبر وعندي عام وماهبش تمشي الانترنت شكيت و شكيت مكان شيء لبلاد هذي دوخ"
",الى يومنا هذا شارع الهاشمي الغزالي و تعاوني العقاريه دار الامل بولايه وهران بلدية بئر الجير مكاش la fibre هل هذا يعقل"
",ربما العرض نتاعي في تركيب الفايبر يكون في 2050 او أكثر"
",أبسط بحاجة ماتمشيش عندي عام ماقدرتش ندخل فضاء الزبون"
",تطبيق My Idoom معطل ولا يشتغل ماهو السبب ؟"
",تطبيق my idoom لا يشتغل"
",السعر"
",أعملو تحديث لصفحة الإشتراك فخدمة الفيبر ملقيتش الحي تعنا مع أنو كل الكبلات راكبين"
",اخي دخلنا المودام طلقوه والانترنات مكانش"
",خرجتو منهم للولايات ولا مزال و شكرا"
",بيس ايدوم 4g تمشي في البوكس ولالا"
",""الفكرة جيدة صراحتا جهاز بوكس تي في يعمل بآخر إصدار النسخة 12 مع روم 32 جيقا و رام 2 جيقا معالج مقبول يأذي الغرض و فكرة بوكس 3 في واحد"
"لكن لا أعتقد أن الجهاز سينجح لعدة أسباب منها مثلا الجهاز يدعم تقنية cat4 فقط مدام كاين تعاقد بين اتصالات الجزائر و d… En voir plus"""
",واش هو فاش يصلح"
",شعال اشتراك شهري تاع tod"
",رانا قريب 4اشهر بدون اننرنت"
",ماذا عن تطبيق my idoom"
",اشتركت فالعرض ولم استفد من الشهر المجاني .. تم تركيب المودام يوم 6 جانفي الى يومنا هذا لا يوجد انترنيت"
",تم تركيب المودام مؤخرا ولكن الانترنت راحت البارح"
",ختي راه عندنا مشكل في لالين خلصت الانترنات ومطلقوهاليش"
",هل بالامكان التسجيل عن بعد في العرض وطلب ربط الخط من موقع اتصالات الجزائر من دون التنقل الى الوكالات ؟"
",تطبيق ماي ايدوم وعلاه راهو حابس"
",غير يوصلنا الفيبر و نعطيك 5000 دج تكاليف"
",""وين راه الفيبر"
"مزالنا بخيوط النحاس xD"""
",لحد الان مازلنا نتخبط مع adsl المشكل فيكم او فينا تم وضع اسلاك فيبر لكن لم يتم استبدالها بعد ...... كارثة خدمة adsl"
",""كيف كيف المودام 4جي محقورين لا زيادة لا حتى تدفق مضبوط"
"نحتاج إضافة خدمة الفاكس الى المودم خاصة الاماكن المعزولة خمموا فينا شوي تعيشوا"""
",مكانش منها عمرت بيه والو ريقلو غي سرعة التدفق فقط"
",قولو اتصالات الجزائر بعنابة يرجعونا الانترنات شهرين ما كان والو"
",غي دوكا خلصت بذهبية ما زادوني لا نهار لا 2"
",الفيبر علاه التاخر هذا كامل والله كرهنا ب الكابل تاع النحاس رانا في 2025 ومازال كل عام تقولولنا العام الجاي"
",وidoom4g ماشي تابع ليكم ولا صايي تبريتو منو"
",انا مشترك ب 100 ميقا لكن سرعة التحميل 19 ميقا فقط هل هذا طبيعي ؟؟؟ و هل هو مشكل يخصني ام يمس الجميع"
",مكانش منها عمرت ومعطاونيش 3ايام"
",فضاء الزبون تسجيل جديد لا يفتح"
",قرية البور تابعة لبلدية انقوسة 25كم عن مقر ولاية ورقلة لحد الان لم تستفيد من تغطية بشبكة الألياف البصرية الا بنسبة 15٪ لماذا هذا التأخر في ولاية غنية"
",حي 70سكن ريفي دائرة سيدي علي بوسيدي ولاية سيدي بلعباس منذ ثلاث سنوات أودعنا طلباتنا ولا جديد يذكر إلى يومنا هذا"
",""راني ركبت مودام وراني ف شهر ونص بدون انترنت وكي رحت للوكالة قالولي روح وضرك نتصلو بيك ولا يوجد رد"
"أين المشكل ؟؟"""
",""عندنا طلبوا منا دفع 2025,00 دج ما الفرق ؟؟"""
",السلام عليكم خويا انا درت طلب وعطاولي مودام عنده 4 ايام وخلصت 200 الف ومجاوش ركبوه مانعرف يدخلوني في السيستام هذا ولا لا"
",المشكل في التطبيق My idoom متوقف ولا نستطيع الدخول لespace client لمعرفة عدد الايام المتبقية لي من الانثرنث ماهو الحل درت الطريقة لي قتلو عليها لكن نفس المشكل"
",سلام 2 ركبتولهم ولا مزال"
",حنا علاه اطاونا تدفق تاع 30 ميغا ماشي قلتو تدفق 500 ميغا"
",تقريبا شهر منذ ايداع الملف لحد الان بدون تركيب للاسف"
",الاشغال متواصلة في حي باب الزيارة ونواحيها الرمشي --تلمسان --"
",""إلا متى و حي لبشاش بدون انترنات ؟؟!!"
"سمانة ضرك وحنا حاصلين لا قرايا لا خدمة لا والو"""
",الكونيكسيو تاع 4G راهي كارثة كون تحسنو فيها فيها الواحد راه يرمي دراهمه في ااباطل"
",Idom fibr flixit fiha ou mahabtch tetmachaيهديكم ربي سيبونا الانترنات عندنا اسبوع ملي ركبونا لمودام. تاع الفيبر ولحد الساعة مزال مطلقوهاش الانترنات ممكن تفسير"
",ممكن سبب توقيف الخط بدون سابق إنذار ؟؟!! و مع نهاية الأسبوع ؟؟؟؟"
",ماي ادوم راه مش يمشي عندي"
",كيف؟! ممكن توضيح؟"
",Tewine box يقرأ بيس اتصالات الجزائر"
",ريزو تاع 4Gكارتة واش ندير"
",كيف يمكنني أن ادفع فاتورة الهاتف لتحصل على الانترنت"
",نعمة الفيبر"
",هذه الايام رنا نخلصو الانترنت باطل بدون استفادة منها خدمات رديئة وتقطعات متكررة"
