commentaire,sentiment,probleme
"L’espace client est en panne depuis plus d’une semaine. Merci de le réparer.,",négatif,problème réseau
"Apportez-nous la fibre, après on se débrouillera.,",positif,N/A
"Le signal est toujours rouge depuis presque 24 heures.,",négatif,réactivité
"L’application MyIdoom et l’espace client ne fonctionnent pas, réparez-les.,",négatif,problème réseau
"Cela fait presque 12 heures, personne ne nous compense.,",neutre,N/A
"Il n’y a rien.,",neutre,N/A
"Il n’y a plus de signal 4G depuis hier, il est 11h et toujours rien.,",neutre,N/A
"Il n’y a pas de signal sur l’appareil 4G. Quand on cherche le réseau, il trouve celui de Djezzy, Ooredoo et Mobilis, mais il",neutre,N/A
"De 3 mois à 12 mois, c'est le même crédit.,",positif,N/A
"Donc c’est mieux de payer tous les trois mois.,",positif,N/A
"En résumé, si tu payes mensuellement, tu as 3 jours offerts, et si tu payes entre 3 et 12 mois, tu as 4 jours offerts par mois.,",positif,N/A
"Donc si tu charges pour une année, tu gagnes 48 jours.,",positif,N/A
"Rendez-nous notre droit ! Depuis septembre 2024, ils nous ont volé le câble internet. Malgré les réclamations de tout le quartier, vous n’avez rien fait jusqu’à aujourd’hui. Ça ne vous intéresse même pas, vous oubliez qu’on est des abonnés !,",négatif,problème réseau
"J’ai perdu ma puce 4G LTE, est-ce que je peux la récupérer chez vous ou je dois en acheter une nouvelle ?,",négatif,problème réseau
"L’application My Idoom ne fonctionne pas, surtout quand on essaie d’accéder à l’espace client.,",négatif,problème réseau
"Depuis que vous avez mis en place le paiement électronique, je recharge toujours par ce biais, et je n’ai jamais eu de bonus.,",positif,N/A
"Toute ma vie je recharge, mais je n’ai jamais vu votre fameux bonus.,",négatif,offres commerciales
"Je l’ai payé hier matin... et jusqu’à maintenant je n’ai toujours pas internet. Donc les jours de bonus, comment vais-je en profiter si vous ne m’activez même pas la connexion ? Où est le problème ?",négatif,problème réseau
"À Tipaza, le réseau de la fibre optique n’est pas disponible.,",négatif,problème réseau
"Et nous, les utilisateurs de l’ADSL, nous n’avons aucune offre. Faites-nous au moins une réduction, puisque la fibre n’est pas encore disponible chez nous. Vous favorisez trop les utilisateurs de la fibre.,",négatif,problème réseau
"Pourquoi ne profitons-nous pas de cette offre, nous, les habitants de l’îlot 5 AADL 1500 logements à Souk Ahras ? Ça fait plus d’un an qu’on est installés.,",positif,N/A
"On attend toujours le passage à la fibre optique et son installation à l’intérieur des maisons.,",positif,N/A
"La vitesse de la 4G est catastrophique.,",négatif,problème réseau
"Salam, je veux ouvrir l’espace client, mais ça ne s’ouvre pas en 4G LTE.,",neutre,N/A
"Et ceux qui n’ont pas la fibre continuent avec le câble en cuivre.,",positif,N/A
"On a commencé avec 4 jours sans internet.,",neutre,N/A
"Ils sont venus m’installer le modem le 19 décembre, et jusqu’à maintenant il n’est toujours pas activé.,",neutre,N/A
"Dans la moitié de la wilaya de Jijel, il n’y a toujours pas de fibre. Franchement, on en a marre.",négatif,problème réseau
"Bon courage à tous les employés et fonctionnaires d’Algérie Télécom.,",positif,N/A
"Quand allez-vous installer la fibre dans le centre-ville de Khenchela ? Les immeubles du centre n’en bénéficient pas.,",négatif,problème réseau
"Comment peut-on bénéficier de l’offre ?,",positif,N/A
"Cette offre est disponible dans quelle wilaya ? Ça fait 9 mois que j’ai déposé mon dossier fibre, j’ai payé les frais d’adhésion, on m’a donné un numéro d’abonnement, mais on ne m’a toujours rien installé à Laghouat.,",négatif,problème réseau
"Ça fait un mois que j’ai fait la demande, toujours rien. Quand ça prend autant de temps, je vais finir par annuler la demande.,",neutre,N/A
"L’espace client ne fonctionne pas. J’ai essayé à plusieurs reprises de m’inscrire, je remplis toutes les informations et ensuite je n’arrive pas à accéder au site.,",négatif,service client
"J’ai le VDSL, où puis-je souscrire à la fibre ? Dans la wilaya de Blida, la majorité n’a pas encore accès à la fibre, accélérez un peu !,",négatif,problème réseau
"Bonne année à tous les collègues, hommes et femmes.,",positif,N/A
"La connexion internet est vraiment très faible.,",négatif,problème réseau
Idoom ne fonctionne plus depuis quelques jours. Quel est le problème ?,négatif,problème réseau
"Proposez-nous de nouveaux tarifs, par exemple : 120 Mbps à 2000 DA seulement, comme ça tout le monde pourra profiter d’un bon débit.,",positif,N/A
"Faites un effort, les abonnés à 10 Mbps, passez-les à 15 Mbps.,",positif,N/A
"La fibre optique.,",positif,N/A
"Honnêtement, le bond technologique réalisé en 4 ans dans la vitesse de l'internet (réseau fibre optique) est vraiment impressionnant.,",positif,N/A
"Avant, on avait du 10 Mbps, maintenant on est à 1.2 Gbps.,",positif,N/A
"La connexion fibre est très faible et il y a beaucoup de coupures.,",négatif,problème réseau
"S’il vous plaît, faites un suivi à Biskra pour la couverture en fibre optique. Le projet est complètement à l’arrêt, il n’y a aucune avancée.,",neutre,N/A
"Aujourd’hui, sans aucune annonce ni information préalable, ils sont venus dans notre quartier après la prière du vendredi, ont monté une tente et inscrit les gens intéressés par la fibre. Une demi-heure plus tard, ils sont partis, résultat : presque personne ne s’est inscrit car personne n’était au courant.,",neutre,N/A
"S’il vous plaît, comment changer mon espace client de ADSL vers FTTH ? Merci.,",positif,N/A
"Est-ce que l’application my idoom fonctionne ? Je l’ai ouverte, elle m’indique que l’internet n’est pas connecté, alors que chez moi l’internet fonctionne très bien.",négatif,problème réseau
"Un câble a été coupé dans notre quartier, ils refusent de venir le réparer. Ça fait deux ans qu’on attend. Quand je suis revenu après l’installation de la fibre, j’ai fait une demande, ils m’ont dit : 'On viendra seuls, ne vous dérangez pas.' Jusqu’à maintenant, personne n’est venu. C’est vraiment dommage.,",négatif,problème réseau
"Viens dans la wilaya de Bordj Bou Arréridj (n°34), ils n’ont jamais voulu nous raccorder à la fibre dans notre résidence. C’est pourtant une nouvelle résidence livrée depuis deux ans. À chaque fois qu’on va les voir, ils nous sortent une nouvelle excuse : chaque année ils disent que ce n’est pas encore prévu dans le programme. Ils nous fatiguent, on en a marre.",négatif,problème réseau
"Je suis l’un de ceux qui ont installé la fibre, mais cinq jours sans internet.;",neutre,N/A
"Une semaine que l’internet est en panne, toujours rien, ils disent que le câble manque. Et quand on appelle, personne ne répond.;",négatif,problème réseau
Comment puis-je changer mon adresse email pour pouvoir accéder à l’application Idoom ?;,négatif,problème réseau
"Ma ligne est éligible à la fibre optique, mais le site m’indique que ce n’est pas le cas.;",négatif,problème réseau
"Algérie Télécom, réglez-nous l’application My Idoom, ensuite ce sera plus facile.;",positif,N/A
"Quand je fais une demande via le site, je tombe sur l’offre promotionnelle à 500 DA.;",positif,N/A
Et le câble Idoom ne propose même pas un mois gratuit.;,négatif,problème réseau
"J’ai souscrit pour 20 Mbps, mais je n’ai que 8 Mbps, que signifie cela ?;",négatif,problème réseau
"Quartier Khanaq El Kherba, commune de Babour, wilaya de Sétif : quand est-ce que le réseau internet va y arriver ? Au rythme actuel, ce sera en 2050.;",négatif,problème réseau
Où est cette offre ? Notre quartier est sans internet ni téléphone fixe depuis août.;,neutre,N/A
My Idoom ne fonctionne pas.;,négatif,problème réseau
Est-ce qu’il fonctionne seulement en Wi-Fi ?;,neutre,N/A
"J’habite à Echerfa, il n’y a rien : pas de connexion, rien du tout depuis un mois.;",neutre,N/A
"Malheureusement, l’offre va expirer, et certains n’ont pas pu en profiter à cause des retards dans le projet.;",négatif,offres commerciales
Où sont les jours offerts en cas de paiement électronique ? Je vous pose la question depuis 3 ans.;,positif,N/A
Quand allez-vous étendre le réseau aux autres maisons ?;,positif,N/A
Que se passe-t-il avec My Idoom ? Il ne fonctionne pas.;,négatif,problème réseau
Pour un meilleur progrès ensemble (bon courage à tous les collègues) !;,positif,N/A
"Ils nous ont volé le câble pour la huitième fois, merci pour vos efforts, mais il faut trouver une vraie solution.;",négatif,problème réseau
"Merci monsieur, le prix du VDSL est trop élevé, baissez-le un peu, les temps sont durs.;",négatif,problème réseau
Installez-nous la fibre pour qu’on puisse nous aussi avancer.;,positif,N/A
"Sur Idoom 4G, l’internet est très faible. Quelle en est la cause ?;",négatif,problème réseau
"Nous voulons des réductions de prix pour la fibre, c’est trop cher pour les citoyens. Merci.;",positif,N/A
"Bon courage, avec le travail viendront les résultats inchallah.;",positif,N/A
"Un mois sans connexion, de quel progrès parlez-vous ? Vous n’avez même pas réussi à réparer un câble en un mois. On est en 2025 et rien n’a changé.;",négatif,problème réseau
"J’ai fait une demande il y a trois ans, on m’a dit qu’il faut m’installer la fibre. On m’interdit de me connecter par le câble cuivre. Quand cela changera-t-il ? Jusqu’à ma mort ?;",négatif,problème réseau
L’application My Idoom souffre d’un arrêt quasi total après les dernières mises à jour. Une entreprise comme Algérie Télécom devrait être plus professionnelle et assurer des services stables. Nous espérons une correction rapide.;,négatif,problème réseau
"Ça fait presque un mois qu’ils m’ont installé le modem, mais toujours rien.;",neutre,N/A
"J’ai un modem Wi-Fi, le signal coupe tout le temps, sans parler de la couverture très faible. Même en étant devant, le débit chute ! J’ai déposé une réclamation, mais rien n’a changé.;",neutre,N/A
"Dans deux ans ou même huit, quand ce sera notre tour, le prix sera monté à 5000 DA.;",négatif,facturation
"Bonjour, cela fait 3 jours que je n’ai pas d’internet. Le voyant est rouge. J’ai la fibre.;",négatif,problème réseau
"Bonjour, s’il vous plaît, l’ADSL IDOOM ne propose aucune promotion.;",neutre,N/A
"Vous annoncez du 500 Mbps, mais on n’atteint même pas 30 Mbps alors que les lignes sont neuves. Où est le problème ?;",négatif,problème réseau
Avez-vous des modems 4G ?;,positif,N/A
"S’il vous plaît, j’ai payé deux factures de téléphone fixe mais la ligne est toujours coupée. Veuillez régulariser ma situation.;",négatif,problème réseau
"Je suis abonné à Idoom ADSL, 15 Mbps, mais l’internet est très faible. Pourtant, le boîtier est à 250 mètres. Pourquoi ne pas généraliser les boîtiers dans les quartiers, sans parler de la fibre ?;",négatif,problème réseau
"Quand vous installez la fibre, pensez à nous relier aussi. Elle passe devant chez nous, mais nous restons avec l’ancienne technologie.;",positif,N/A
"Faites-la venir ici, ensuite ce sera plus facile.;",positif,N/A
"Le problème, c’est que dans les vieux quartiers, il n’y a pas de fibre. L’installation est réservée aux quartiers neufs.;",négatif,problème réseau
"Vous avez fourni le service aux nouveaux quartiers, nous les anciens, restons avec les câbles en cuivre.;",positif,N/A
Où est la fibre pour les anciens quartiers qui n’ont pas été raccordés ? Vous l’avez posée dans les quartiers neufs seulement.;,négatif,problème réseau
"Nous sommes toujours en ADSL. J’ai perdu internet et le fixe. Ils m’ont appelé pour dire qu’ils allaient venir réparer, mais ils ne sont jamais venus. Cela fait plus de 20 jours et mes réclamations ne changent rien. Ils sont venus une fois réparer chez les voisins et m’ont dit que je ne suis pas sur la liste.;",négatif,problème réseau
"J’ai demandé à votre agence, ils m’ont dit qu’il n’y a aucun projet pour raccorder notre quartier à la fibre, bien qu’il soit situé entre deux quartiers qui le sont.;",neutre,N/A
"C’est vrai. Par exemple, le quartier AADL 1377 logements à Bir El Djir, Oran, est l’un des plus anciens d’AADL, mais toujours en ADSL avec un débit médiocre, tandis que les quartiers neufs profitent de la fibre Idoom. On nous demande d’utiliser le VDSL alors que la différence est minime. Nous voulons la fibre, s’il vous plaît.;",négatif,problème réseau
"Le problème, c’est que lorsqu’on va s’informer à l’agence, ils nous disent que ce n’est pas leur responsabilité, que les ordres viennent de la direction générale. Je ne comprends pas comment un directeur d’agence ne sait pas comment se fait le déploiement de la fibre. Il faut obliger vos employés à faire leur travail. Ça fait 5 ans que j’attends.;",négatif,problème réseau
"Ça fait deux mois que j’ai fait une demande pour la fibre. Mes voisins l’ont déjà, mais pas moi. Je suis allé me renseigner plus d’une fois, on m’a dit 'ils vont venir', mais vous vous moquez du monde.;",négatif,problème réseau
"Internet fonctionne, mais votre site m’indique que je ne suis pas éligible.;",négatif,problème réseau
C’est bien.;,positif,N/A
L’application est en panne depuis un moment. Que Dieu vous guide. My Idoom.;,négatif,problème réseau
"Nous sommes toujours en ADSL, j’ai perdu internet et le fixe. Ils m’ont appelé pour dire qu’ils viendraient le réparer, mais ils ne sont jamais venus. Cela fait plus de 20 jours. Une fois, ils sont venus réparer chez les voisins et m’ont dit que je ne suis pas signalé.;",négatif,problème réseau
"Pas d’abonnement, rien du tout. Ils t’installent juste le matériel, mais pas d’internet. J’ai installé depuis 15 jours et toujours rien.;",neutre,N/A
"Faites-le pour Guelma, on a vieilli à attendre et toujours rien.;",neutre,N/A
"La fibre est réservée à la bourgeoisie... Quant au peuple oublié ou ignoré, même l'internet classique qui se coupe souvent, c’est déjà trop pour nous.;",négatif,problème réseau
"Très belle offre, j’espère qu’elle sera installée chez nous. Quant à la fibre, ils sont en train de l’installer dans le quartier ; une fois terminé, on installera la fibre.;",positif,N/A
"En Algérie, si je souscris à la nouvelle offre, suis-je obligé de payer un abonnement d’un an ?;",positif,N/A
"A ce rythme-là, si ça continue comme ça, avec l’aide de Dieu, on aura la fibre en 2077, on pourra alors en faire des cercueils... Hahaha, quelle blague !;",négatif,problème réseau
Internet est complètement coupé depuis deux jours !!!!!!!!;,négatif,problème réseau
"Bravo, bonne continuation Algérie Télécom.;",positif,N/A
"La fibre est une catastrophe chez nous. Tu paies, puis la connexion devient misérable.;",négatif,facturation
"Pour la fibre aussi, on paie mensuellement l’abonnement (comme ils l’appellent).;",positif,N/A
"À ce jour, vous ne m’avez toujours pas activé internet. Le modem est installé, j’en suis à 24 jours d’attente.;",neutre,N/A
"Où est cette fameuse fibre ? On en entend parler, mais on ne l’a jamais vue.;",négatif,problème réseau
"Bonjour, merci de répondre à la préoccupation.;",positif,N/A
"Le message de confirmation envoyé par mail n’arrive pas, je ne peux pas accéder à l’application My Idoom depuis plus d’un mois.;",négatif,problème réseau
"Nous, au quartier Ben Said à Djelfa, on n’a rien vu : pas de modem, rien du tout.;",neutre,N/A
ADSL est coupé depuis deux mois.;,négatif,problème réseau
"Je ne peux pas accéder à mon compte sur l’espace client, même en essayant d’en créer un nouveau.;",neutre,N/A
"Bonne chance, réussite et encore plus de succès.;",positif,N/A
Bonne chance.;,positif,N/A
"Les habitants du quartier Delbouz, à Baraki, Alger, victimes du vol de câble téléphonique en septembre 2024, attendent toujours d’être raccordés à la fibre dont l’installation est déjà terminée.;",négatif,problème réseau
Avez-vous des offres pour les auto-entrepreneurs ?;,positif,N/A
Quel est le dossier requis ?;,positif,N/A
J’attends votre appel pour augmenter le débit.;,positif,N/A
"Bonjour, cela fait plus d’un mois que nous avons déposé les documents dans la tente installée à la cité AADL de Herraoua, toujours aucune nouvelle. Merci.;",neutre,N/A
Réparez votre application ou laissez-nous travailler avec le fixe… Arrêtez de nous rendre fous.;,positif,N/A
"Ça fait une semaine qu’on essaie de vous contacter pour réparer une coupure du câble internet, mais jusqu’à présent, rien n’a été fait.;",neutre,N/A
"Réparez l’internet sur le modem 4G d’Algérie Télécom, il est totalement coupé depuis 4 jours ???!!!!!!!!!! Et après ça, vous lancez des offres ???!!!!!!;",négatif,problème réseau
Qu’est-ce que vous attendez ? On attend la fibre ! Fournissez-nous la fibre.;,positif,N/A
On attend que la couverture arrive jusqu’à notre vieille commune.;,positif,N/A
J’attends qu’ils viennent réparer le câble qui a été coupé ! Celui qui vient juste jeter un œil et repart.;,négatif,problème réseau
Je vous attends.;,positif,N/A
On espère que Dieu vous guidera à enfin nous raccorder à internet. Voilà 3 ans qu’on attend.;,positif,N/A
"Tout simplement, on vous attend.;",positif,N/A
"Il y a un problème avec internet, ça fait 5 jours que ça ne marche pas.;",négatif,problème réseau
"Ça fait un an que j’ai soumis ma demande. Quand allez-vous fournir le modem à Annaba ? Depuis environ un an, toujours rien.;",neutre,N/A
Je vous attends.;,positif,N/A
On attend toujours que la fibre arrive !!!!;,positif,N/A
Bon vendredi à vous.;,positif,N/A
Toujours plus proche.;,positif,N/A
J’adore les jeux vidéo !! Bon week-end à Algérie Télécom !!;,positif,N/A
"Je rechargeais mon ADSL 1600 chaque mois, maintenant j’ai rechargé via carte Edahabia et il n’y a rien. Que faire ? Dois-je changer pour Idoom Fibre ?;",neutre,N/A
N’oubliez pas les clients de Idoom 4G LTE avec de belles offres.;,positif,N/A
"Commencez par raccorder les gens, ensuite faites la promotion de votre projet.;",positif,N/A
"Faites-la arriver à la maison, ensuite ce sera plus facile.;",positif,N/A
"Hicham, mon frère, quand est-ce que vous installez la fibre chez nous ?;",positif,N/A
"On a installé la fibre, mais vous n’avez pas activé l’internet.;",neutre,N/A
Est-ce disponible dans toutes les agences du pays ? Et peut-on y insérer une carte SIM d’Algérie Télécom ?;,positif,N/A
C’est bien du Wi-Fi 6 ou je me trompe ?;,négatif,problème réseau
L’abonnement à TOD est trop cher.;,négatif,problème réseau
"Pourquoi ne pas revoir le prix ? 15 000 DA, c’est très élevé. S’il était possible de le payer en plusieurs fois, intégré à l’abonnement internet, ce serait mieux et cela boosterait vos ventes.;",positif,N/A
"Ceux qui ne rechargent pas via Djezzy et n’ont pas supprimé la base peuvent se contenter de l’internet fixe, avec activation des autres applications.;",positif,N/A
"La carte, est-ce qu’elle est chez Djezzy ou Algérie Télécom ?;",positif,N/A
Est-ce que c'est de la 4G et est-ce que c'est utile dans un village isolé en termes de couverture ?;,négatif,problème réseau
