commentaire,commentaire_nettoye,commentaire_spacy,lemmes,tokens_utiles,sentiment,probleme
"Dans le village où je vis, il n’y a même pas d’internet. Ni câble cuivre ni fibre, à 5 km de la ville.,","Dans le village où je vis, il n’y a même pas d’internet. Ni câble cuivre ni fibre, à 5 km de la ville.","Dans le village où je vis, il n’y a même pas d’internet. Ni câble cuivre ni fibre, à 5 km de la ville.",village voir internet câbl cuivre fibre 5 kilomètre ville,village vis internet câble cuivre fibre 5 km ville,neutre,
"Quel est l’intérêt de proposer cette offre alors que la fibre ne nous est même pas accessible ?,",Quel est l’intérêt de proposer cette offre alors que la fibre ne nous est même pas accessible ?,Quel est l’intérêt de proposer cette offre alors que la fibre ne nous est même pas accessible ?,intérêt proposer offre fibre accessible,intérêt proposer offre fibre accessible,négatif,problème réseau
"Les zones d’ombre pleurent en silence.,",Les zones d’ombre pleurent en silence.,Les zones d’ombre pleurent en silence.,zone ombre pleurer silence,zones ombre pleurent silence,neutre,
"Ça fait deux mois que j’ai fait une demande, mes voisins ont été raccordés mais pas moi.,","Ça fait deux mois que j’ai fait une demande, mes voisins ont été raccordés mais pas moi.","Ça fait deux mois que j’ai fait une demande, mes voisins ont été raccordés mais pas moi.",mois demande voisin être raccorder,mois demande voisins été raccordés,négatif,problème réseau
"Notre quartier a été raccordé à la fibre depuis longtemps mais le service n’a toujours pas été lancé ! Pourquoi ? Une explication SVP.,",Notre quartier a été raccordé à la fibre depuis longtemps mais le service n’a toujours pas été lancé ! Pourquoi ? Une explication SVP.,Notre quartier a été raccordé à la fibre depuis longtemps mais le service n’a toujours pas été lancé ! Pourquoi ? Une explication SVP.,quartier être raccorder fibre service être lancer explication svp,quartier été raccordé fibre service été lancé explication svp,négatif,problème réseau
"J’ai terminé le mois gratuit et je veux payer le mois suivant mais je ne sais pas comment faire. Aide SVP.,",J’ai terminé le mois gratuit et je veux payer le mois suivant mais je ne sais pas comment faire. Aide SVP.,J’ai terminé le mois gratuit et je veux payer le mois suivant mais je ne sais pas comment faire. Aide SVP.,terminer mois gratuit vouloir payer mois savoir faire aide svp,terminé mois gratuit veux payer mois sais faire aide svp,négatif,facturation
"Même au centre-ville de Biskra, il n’y a pas de fibre optique !,","Même au centre-ville de Biskra, il n’y a pas de fibre optique !","Même au centre-ville de Biskra, il n’y a pas de fibre optique !",centre ville biskra fibre optique,centre ville biskra fibre optique,négatif,problème réseau
"On attend encore une autre année pour avoir un modem.,",On attend encore une autre année pour avoir un modem.,On attend encore une autre année pour avoir un modem.,attendre année modem,attend année modem,négatif,problème réseau
"Il faut permettre le paiement via les applications même sans connexion internet. Quand l’internet est coupé, comment on peut payer ? Réglez ça SVP.,","Il faut permettre le paiement via les applications même sans connexion internet. Quand l’internet est coupé, comment on peut payer ? Réglez ça SVP.","Il faut permettre le paiement via les applications même sans connexion internet. Quand l’internet est coupé, comment on peut payer ? Réglez ça SVP.",falloir permettre paiement application connexion internet internet couper payer régler svp,faut permettre paiement applications connexion internet internet coupé payer réglez svp,positif,
"Vive l’USMK, vive Algérie Télécom.,","Vive l’USMK, vive Algérie Télécom.","Vive l’USMK, vive Algérie Télécom.",vive usmk vif algérie télécom,vive usmk vive algérie télécom,positif,
"Merci à vous.,",Merci à vous.,Merci à vous.,,,positif,
"J’aimerais que le paiement internet soit aussi simple que pour la ligne téléphonique. Pour l’internet, on dirait que je dois faire une recharge manuelle.,","J’aimerais que le paiement internet soit aussi simple que pour la ligne téléphonique. Pour l’internet, on dirait que je dois faire une recharge manuelle.","J’aimerais que le paiement internet soit aussi simple que pour la ligne téléphonique. Pour l’internet, on dirait que je dois faire une recharge manuelle.",aimer paiement internet simple ligne téléphonique internet dire devoir faire recharge manuel,aimerais paiement internet simple ligne téléphonique internet dirait dois faire recharge manuelle,positif,
"J’utilise le paiement électronique depuis longtemps et je n’ai jamais bénéficié du bonus dont vous parlez.,",J’utilise le paiement électronique depuis longtemps et je n’ai jamais bénéficié du bonus dont vous parlez.,J’utilise le paiement électronique depuis longtemps et je n’ai jamais bénéficié du bonus dont vous parlez.,utiliser paiement électronique jamais bénéficier bonus parler,utilise paiement électronique jamais bénéficié bonus parlez,neutre,
"Pourquoi vous me retirez toujours un jour du mois ? J’ai payé le 4 décembre 2024 et ça se termine le 1er janvier 2025. Il manque un jour !,",Pourquoi vous me retirez toujours un jour du mois ? J’ai payé le 4 décembre 2024 et ça se termine le 1er janvier 2025. Il manque un jour !,Pourquoi vous me retirez toujours un jour du mois ? J’ai payé le 4 décembre 2024 et ça se termine le 1er janvier 2025. Il manque un jour !,retirer jour mois payer 4 décembre 2024 terminer premier janvier 2025 manque jour,retirez jour mois payé 4 décembre 2024 termine 1er janvier 2025 manque jour,négatif,facturation
"Pourquoi ne pas ajouter le paiement des factures d’électricité via BaridiMob avec code-barres ? Ce serait plus simple.,",Pourquoi ne pas ajouter le paiement des factures d’électricité via BaridiMob avec code-barres ? Ce serait plus simple.,Pourquoi ne pas ajouter le paiement des factures d’électricité via BaridiMob avec code-barres ? Ce serait plus simple.,ajouter paiement facture électricité baridimob code-barre simple,ajouter paiement factures électricité baridimob code-barres simple,positif,
"Le paiement avec carte Edahabia ne fonctionne plus depuis longtemps, le message 'échec de l’opération' apparaît.,","Le paiement avec carte Edahabia ne fonctionne plus depuis longtemps, le message 'échec de l’opération' apparaît.","Le paiement avec carte Edahabia ne fonctionne plus depuis longtemps, le message 'échec de l’opération' apparaît.",paiement carte edahabia fonctionner message échec opération apparaît,paiement carte edahabia fonctionne message échec opération apparaît,négatif,facturation
"Quand vous nous raccorderez à la fibre, on sera les premiers à souscrire.,","Quand vous nous raccorderez à la fibre, on sera les premiers à souscrire.","Quand vous nous raccorderez à la fibre, on sera les premiers à souscrire.",raccorder fibre premier souscrire,raccorderez fibre premiers souscrire,positif,
"Amenez-nous la fibre d’abord, ensuite on discutera.,","Amenez-nous la fibre d’abord, ensuite on discutera.","Amenez-nous la fibre d’abord, ensuite on discutera.",amener nous fibre ensuite discuter,amenez -nous fibre ensuite discutera,positif,
"J’ai payé internet la semaine dernière, il reste encore du temps mais c’est déjà coupé. Pourquoi ?,","J’ai payé internet la semaine dernière, il reste encore du temps mais c’est déjà coupé. Pourquoi ?","J’ai payé internet la semaine dernière, il reste encore du temps mais c’est déjà coupé. Pourquoi ?",payer internet semaine dernier temps couper,payé internet semaine dernière temps coupé,négatif,problème réseau
"Dans notre village (zone d’ombre), pas de fibre du tout.,","Dans notre village (zone d’ombre), pas de fibre du tout.","Dans notre village (zone d’ombre), pas de fibre du tout.",village zone ombre fibre,village zone ombre fibre,neutre,
"Remplacez les câbles cuivre par la fibre et ensuite ce sera facile de s’abonner.,",Remplacez les câbles cuivre par la fibre et ensuite ce sera facile de s’abonner.,Remplacez les câbles cuivre par la fibre et ensuite ce sera facile de s’abonner.,remplacez câble cuivre fibre ensuite facile abonner,remplacez câbles cuivre fibre ensuite facile abonner,positif,
"Donnez-nous d’abord la fibre avant de nous parler de vos offres.,",Donnez-nous d’abord la fibre avant de nous parler de vos offres.,Donnez-nous d’abord la fibre avant de nous parler de vos offres.,donnez nous fibre offre,donnez -nous fibre offres,positif,
"On entend parler de la fibre mais on ne voit rien du tout.,",On entend parler de la fibre mais on ne voit rien du tout.,On entend parler de la fibre mais on ne voit rien du tout.,entendre fibre voir rien,entend fibre voit rien,neutre,
"Faites juste l’installation et je vous paierai un million !,",Faites juste l’installation et je vous paierai un million !,Faites juste l’installation et je vous paierai un million !,faites installation payer million,faites installation paierai million,positif,
"Et après l’offre promotionnelle, combien doit-on payer par mois ?,","Et après l’offre promotionnelle, combien doit-on payer par mois ?","Et après l’offre promotionnelle, combien doit-on payer par mois ?",offre promotionnel on payer mois,offre promotionnelle -on payer mois,positif,
"Merci, mais on aimerait des offres pour les catégories vulnérables.,","Merci, mais on aimerait des offres pour les catégories vulnérables.","Merci, mais on aimerait des offres pour les catégories vulnérables.",aimer offre catégorie vulnérable,aimerait offres catégories vulnérables,positif,
"Quand est-ce que le quartier Mohamed Aïa à Laghouat sera raccordé à la fibre ?,",Quand est-ce que le quartier Mohamed Aïa à Laghouat sera raccordé à la fibre ?,Quand est-ce que le quartier Mohamed Aïa à Laghouat sera raccordé à la fibre ?,-ce quartier mohamed aïa laghouat raccorder fibre,-ce quartier mohamed aïa laghouat raccordé fibre,négatif,problème réseau
"Pourquoi ne pas faire des offres pour les personnes en difficulté ?,",Pourquoi ne pas faire des offres pour les personnes en difficulté ?,Pourquoi ne pas faire des offres pour les personnes en difficulté ?,faire offre personne difficulter,faire offres personnes difficulté,positif,
"Mon frère a un problème avec les techniciens à Es Senia. Ils ont donné sa ligne à quelqu’un d’autre et refusent de réparer.,",Mon frère a un problème avec les techniciens à Es Senia. Ils ont donné sa ligne à quelqu’un d’autre et refusent de réparer.,Mon frère a un problème avec les techniciens à Es Senia. Ils ont donné sa ligne à quelqu’un d’autre et refusent de réparer.,frère problème technicien senia donner ligne quelqu’ refuser réparer,frère problème techniciens senia donné ligne quelqu’ refusent réparer,négatif,problème réseau
"J’ai un petit problème pour me connecter à l’espace client. Il me demande toujours de vérifier mon e-mail.,",J’ai un petit problème pour me connecter à l’espace client. Il me demande toujours de vérifier mon e-mail.,J’ai un petit problème pour me connecter à l’espace client. Il me demande toujours de vérifier mon e-mail.,petit problème connecter espace client demande vérifier e-mail,petit problème connecter espace client demande vérifier e-mail,négatif,problème réseau
"Rue Krim Belkacem, bâtiment 89, quand aurons-nous la fibre optique ? Merci.,","Rue Krim Belkacem, bâtiment 89, quand aurons-nous la fibre optique ? Merci.","Rue Krim Belkacem, bâtiment 89, quand aurons-nous la fibre optique ? Merci.",rue krim belkacem bâtiment 89 avoir nous fibre optique,rue krim belkacem bâtiment 89 aurons -nous fibre optique,positif,
"Pas d’offres spéciales pour cette catégorie ?,",Pas d’offres spéciales pour cette catégorie ?,Pas d’offres spéciales pour cette catégorie ?,offre spécial catégorie,offres spéciales catégorie,neutre,
"Difficulté à créer un compte My Idoom. Le code envoyé est toujours erroné. J’essaie depuis plus d’une heure, sans solution.,","Difficulté à créer un compte My Idoom. Le code envoyé est toujours erroné. J’essaie depuis plus d’une heure, sans solution.","Difficulté à créer un compte My Idoom. Le code envoyé est toujours erroné. J’essaie depuis plus d’une heure, sans solution.",difficulté créer compte my idoom code envoyer erroner essayer heure solution,difficulté créer compte my idoom code envoyé erroné essaie heure solution,négatif,problème réseau
"Ils ont enlevé l’ADSL, pas de fibre. On est sans rien. Qu’Allah vous punisse.,","Ils ont enlevé l’ADSL, pas de fibre. On est sans rien. Qu’Allah vous punisse.","Ils ont enlevé l’ADSL, pas de fibre. On est sans rien. Qu’Allah vous punisse.",enlever adsl fibre rien allah puniss,enlevé adsl fibre rien allah punisse,négatif,problème réseau
"Suite à une remarque, Algérie Télécom a commencé les travaux pour installer un boîtier Idoom Fibre. Merci pour l’effort.,","Suite à une remarque, Algérie Télécom a commencé les travaux pour installer un boîtier Idoom Fibre. Merci pour l’effort.","Suite à une remarque, Algérie Télécom a commencé les travaux pour installer un boîtier Idoom Fibre. Merci pour l’effort.",suite remarque algérie télécom commencer travail installer boîtier idoom fibre effort,suite remarque algérie télécom commencé travaux installer boîtier idoom fibre effort,positif,
"Nous attendons toujours l’installation d’internet dans notre quartier à F'Sdis.,",Nous attendons toujours l’installation d’internet dans notre quartier à F'Sdis.,Nous attendons toujours l’installation d’internet dans notre quartier à F'Sdis.,attendre installation internet quartier f' sdis,attendons installation internet quartier f' sdis,positif,
"Toujours le même message : votre ligne n’est pas éligible. Pourquoi coupez-vous l’ADSL ?,",Toujours le même message : votre ligne n’est pas éligible. Pourquoi coupez-vous l’ADSL ?,Toujours le même message : votre ligne n’est pas éligible. Pourquoi coupez-vous l’ADSL ?,message ligne éligible couper vous adsl,message ligne éligible coupez -vous adsl,négatif,problème réseau
"J’ai essayé mille fois. Donnez-nous une solution pour l’éligibilité.,",J’ai essayé mille fois. Donnez-nous une solution pour l’éligibilité.,J’ai essayé mille fois. Donnez-nous une solution pour l’éligibilité.,essayer fois donner nous solution éligibilité,essayé fois donnez -nous solution éligibilité,positif,
"J’ai l’ADSL et je paie, mais le débit est très faible, parfois 3 Mbps.,","J’ai l’ADSL et je paie, mais le débit est très faible, parfois 3 Mbps.","J’ai l’ADSL et je paie, mais le débit est très faible, parfois 3 Mbps.",adsl payer débit faible 3 mbps,adsl paie débit faible 3 mbps,négatif,problème réseau
"Service catastrophique. Cela fait 4 mois avec des pannes, rien ne bouge.,","Service catastrophique. Cela fait 4 mois avec des pannes, rien ne bouge.","Service catastrophique. Cela fait 4 mois avec des pannes, rien ne bouge.",service catastrophique 4 mois panne rien bouge,service catastrophique 4 mois pannes rien bouge,négatif,problème réseau
"Deux gouttes et ça coupe, que ce soit l’électricité ou la connexion.,","Deux gouttes et ça coupe, que ce soit l’électricité ou la connexion.","Deux gouttes et ça coupe, que ce soit l’électricité ou la connexion.",goutte coupe électricité connexion,gouttes coupe électricité connexion,négatif,problème réseau
"Deux ans à tester, rien ne change. Vous vous moquez de nous.,","Deux ans à tester, rien ne change. Vous vous moquez de nous.","Deux ans à tester, rien ne change. Vous vous moquez de nous.",an tester rien chang moquer,ans tester rien change moquez,neutre,
"Bonjour. Je subis toujours des coupures avec un faible débit. Le service à Skikda m’a dit : 'toute l’Algérie souffre, on ne peut rien faire'.,","Bonjour. Je subis toujours des coupures avec un faible débit. Le service à Skikda m’a dit : 'toute l’Algérie souffre, on ne peut rien faire'.","Bonjour. Je subis toujours des coupures avec un faible débit. Le service à Skikda m’a dit : 'toute l’Algérie souffre, on ne peut rien faire'.",bonjour subir coupure faible débit service skikda algérie souffrir rien faire,bonjour subis coupures faible débit service skikda algérie souffre rien faire,négatif,problème réseau
"Aucun Algérien ne choisit de rester à l’ancienne technologie. Donnez-nous la fibre d’abord, ensuite proposez des offres.,","Aucun Algérien ne choisit de rester à l’ancienne technologie. Donnez-nous la fibre d’abord, ensuite proposez des offres.","Aucun Algérien ne choisit de rester à l’ancienne technologie. Donnez-nous la fibre d’abord, ensuite proposez des offres.",aucun algérien choisir rester ancien technologie donner nous fibre ensuite proposer offre,aucun algérien choisit rester ancienne technologie donnez -nous fibre ensuite proposez offres,neutre,
"Quel est l’intérêt de cette offre s’il n’y a pas de fibre ?,",Quel est l’intérêt de cette offre s’il n’y a pas de fibre ?,Quel est l’intérêt de cette offre s’il n’y a pas de fibre ?,intérêt offre fibre,intérêt offre fibre,négatif,problème réseau
"L’agence de Souk Ahras est la pire. Donnez-nous le modem et installez-le pour ne plus qu’on revienne.,",L’agence de Souk Ahras est la pire. Donnez-nous le modem et installez-le pour ne plus qu’on revienne.,L’agence de Souk Ahras est la pire. Donnez-nous le modem et installez-le pour ne plus qu’on revienne.,agence souk ahras pire donner nous modem installer revenir,agence souk ahras pire donnez -nous modem installez revienne,négatif,problème réseau
"L’application Idoom ne fonctionne pas.,",L’application Idoom ne fonctionne pas.,L’application Idoom ne fonctionne pas.,application idoom fonctionner,application idoom fonctionne,négatif,problème réseau
"Ceux qui n’ont pas la fibre n’ont pas droit à cette offre ? Ce n’est pas juste.,",Ceux qui n’ont pas la fibre n’ont pas droit à cette offre ? Ce n’est pas juste.,Ceux qui n’ont pas la fibre n’ont pas droit à cette offre ? Ce n’est pas juste.,fibre droit offre,fibre droit offre,négatif,problème réseau
"Est-ce possible que le centre de Annaba n’ait toujours pas la fibre ?,",Est-ce possible que le centre de Annaba n’ait toujours pas la fibre ?,Est-ce possible que le centre de Annaba n’ait toujours pas la fibre ?,-ce centre annaba fibre,-ce centre annaba fibre,négatif,problème réseau
"Frère, débloquez la situation. C’est trop lourd pour nos enfants qui étudient.,","Frère, débloquez la situation. C’est trop lourd pour nos enfants qui étudient.","Frère, débloquez la situation. C’est trop lourd pour nos enfants qui étudient.",frère débloquer situation trop lourd enfant étudier,frère débloquez situation trop lourd enfants étudient,négatif,réactivité
"Vous nous avez donné envie avec la fibre. Mais on reste avec l’ADSL, aucune nouvelle pour la fibre.,","Vous nous avez donné envie avec la fibre. Mais on reste avec l’ADSL, aucune nouvelle pour la fibre.","Vous nous avez donné envie avec la fibre. Mais on reste avec l’ADSL, aucune nouvelle pour la fibre.",avoir donner envier fibre adsl aucun nouvelle fibre,avez donné envie fibre adsl aucune nouvelle fibre,neutre,
"Très gros problème de lenteur à Aïn Hamad (Beïnan). Merci de résoudre ce problème.,",Très gros problème de lenteur à Aïn Hamad (Beïnan). Merci de résoudre ce problème.,Très gros problème de lenteur à Aïn Hamad (Beïnan). Merci de résoudre ce problème.,gros problème lenteur aïn hamad beïnan résoudre problème,gros problème lenteur aïn hamad beïnan résoudre problème,positif,
"Même offre qu’avant, où est la nouveauté ?,","Même offre qu’avant, où est la nouveauté ?","Même offre qu’avant, où est la nouveauté ?",offrir nouveauté,offre nouveauté,neutre,
"Investissez plutôt dans l’amélioration du réseau. Les abonnés 4G souffrent.,",Investissez plutôt dans l’amélioration du réseau. Les abonnés 4G souffrent.,Investissez plutôt dans l’amélioration du réseau. Les abonnés 4G souffrent.,investir amélioration réseau abonné 4 gramme souffrir,investissez amélioration réseau abonnés 4 g souffrent,négatif,problème réseau
"À Annaba, la connexion est totalement absente. Les réclamations n’ont rien donné.,","À Annaba, la connexion est totalement absente. Les réclamations n’ont rien donné.","À Annaba, la connexion est totalement absente. Les réclamations n’ont rien donné.",annaba connexion totalement absent réclamation rien donner,annaba connexion totalement absente réclamations rien donné,neutre,
"Débit très lent, même quand il me reste plus de la moitié du forfait.,","Débit très lent, même quand il me reste plus de la moitié du forfait.","Débit très lent, même quand il me reste plus de la moitié du forfait.",débit lent moitié forfait,débit lent moitié forfait,négatif,problème réseau
"Bonjour. J’ai un modem B311 Orange. Puis-je y mettre une puce Algérie Télécom ? Merci.,",Bonjour. J’ai un modem B311 Orange. Puis-je y mettre une puce Algérie Télécom ? Merci.,Bonjour. J’ai un modem B311 Orange. Puis-je y mettre une puce Algérie Télécom ? Merci.,bonjour modem b311 orange je mettre puce algérie télécom,bonjour modem b311 orange -je mettre puce algérie télécom,positif,
"1.3 kbps c’est bon, mais seulement si internet marchait vraiment.,","1.3 kbps c’est bon, mais seulement si internet marchait vraiment.","1.3 kbps c’est bon, mais seulement si internet marchait vraiment.",1.3 kbp bon internet marcher vraiment,1.3 kbps bon internet marchait vraiment,positif,
"Même problème de lenteur à Aïn Hamad, Beïnan (Mila). Merci de résoudre ça.,","Même problème de lenteur à Aïn Hamad, Beïnan (Mila). Merci de résoudre ça.","Même problème de lenteur à Aïn Hamad, Beïnan (Mila). Merci de résoudre ça.",problème lenteur aïn hamad beïnan mila résoudre,problème lenteur aïn hamad beïnan mila résoudre,négatif,problème réseau
"J’ai fait plusieurs réclamations pour le débit, aucun résultat. Explication SVP.,","J’ai fait plusieurs réclamations pour le débit, aucun résultat. Explication SVP.","J’ai fait plusieurs réclamations pour le débit, aucun résultat. Explication SVP.",réclamation débit aucun résultat explication svp,réclamations débit aucun résultat explication svp,négatif,problème réseau
"Je dis bravo aux bons et honte aux mauvais. Merci à l’équipe technique de Skikda pour leur intervention professionnelle.,",Je dis bravo aux bons et honte aux mauvais. Merci à l’équipe technique de Skikda pour leur intervention professionnelle.,Je dis bravo aux bons et honte aux mauvais. Merci à l’équipe technique de Skikda pour leur intervention professionnelle.,dire bravo bon hont mauvais équipe technique skikda intervention professionnel,dis bravo bons honte mauvais équipe technique skikda intervention professionnelle,positif,
"Bravo.,",Bravo.,Bravo.,bravo,bravo,positif,
"5 mois de coupures fréquentes. Rien n’a été fait. Et même après 2 semaines d’abonnement fibre, pas d’installation.,","5 mois de coupures fréquentes. Rien n’a été fait. Et même après 2 semaines d’abonnement fibre, pas d’installation.","5 mois de coupures fréquentes. Rien n’a été fait. Et même après 2 semaines d’abonnement fibre, pas d’installation.",5 mois coupure fréquent rien être 2 semaine abonnemer fibre installation,5 mois coupures fréquentes rien été 2 semaines abonnement fibre installation,neutre,
"Bonjour. Impossible de se connecter à l’Espace Client ni via MyIdoom ni via PC.,",Bonjour. Impossible de se connecter à l’Espace Client ni via MyIdoom ni via PC.,Bonjour. Impossible de se connecter à l’Espace Client ni via MyIdoom ni via PC.,bonjour impossible connecter espace client myidoom pc,bonjour impossible connecter espace client myidoom pc,neutre,
"On pleure pour l’ADSL, et maintenant avec la fibre c’est encore pire : pannes tous les deux jours. On aurait mieux fait de rester à l’ADSL.,","On pleure pour l’ADSL, et maintenant avec la fibre c’est encore pire : pannes tous les deux jours. On aurait mieux fait de rester à l’ADSL.","On pleure pour l’ADSL, et maintenant avec la fibre c’est encore pire : pannes tous les deux jours. On aurait mieux fait de rester à l’ADSL.",pleurer adsl fibre pire panne jour mieux rester adsl,pleure adsl fibre pire pannes jours mieux rester adsl,négatif,problème réseau
"Nous, comité du quartier AADL à El-Matmar, avons envoyé une plainte à Algérie Télécom Relizane pour coupure internet, sans résultat. Les habitants veulent résilier leur contrat.,","Nous, comité du quartier AADL à El-Matmar, avons envoyé une plainte à Algérie Télécom Relizane pour coupure internet, sans résultat. Les habitants veulent résilier leur contrat.","Nous, comité du quartier AADL à El-Matmar, avons envoyé une plainte à Algérie Télécom Relizane pour coupure internet, sans résultat. Les habitants veulent résilier leur contrat.",comité quartier aadl el matmar envoyer plainte algérie télécom relizane coupure internet résultat habitant vouloir résilier contrat,comité quartier aadl el matmar envoyé plainte algérie télécom relizane coupure internet résultat habitants veulent résilier contrat,négatif,problème réseau
"Depuis le 17 septembre, j’attends l’installation de la fibre.,","Depuis le 17 septembre, j’attends l’installation de la fibre.","Depuis le 17 septembre, j’attends l’installation de la fibre.",17 septembre attend installation fibre,17 septembre attends installation fibre,positif,
"Je suis client. Je voulais recharger internet via le site d’Algérie Télécom mais l’interface ne s’affiche pas. Répondez-moi SVP.,",Je suis client. Je voulais recharger internet via le site d’Algérie Télécom mais l’interface ne s’affiche pas. Répondez-moi SVP.,Je suis client. Je voulais recharger internet via le site d’Algérie Télécom mais l’interface ne s’affiche pas. Répondez-moi SVP.,client vouloir recharger internet site algérie télécom interfacer affich répondre moi svp,client voulais recharger internet site algérie télécom interface affiche répondez -moi svp,négatif,problème réseau
"Algérie Télécom : il y a un bug sur votre site espace client. Merci de répondre.,",Algérie Télécom : il y a un bug sur votre site espace client. Merci de répondre.,Algérie Télécom : il y a un bug sur votre site espace client. Merci de répondre.,algérie télécom bug site espac client répondre,algérie télécom bug site espace client répondre,négatif,problème réseau
"Je pense que 80% des Algériens n’ont pas encore bénéficié de la fibre. Même à Béjaïa, mes amis n’en ont pas.,","Je pense que 80% des Algériens n’ont pas encore bénéficié de la fibre. Même à Béjaïa, mes amis n’en ont pas.","Je pense que 80% des Algériens n’ont pas encore bénéficié de la fibre. Même à Béjaïa, mes amis n’en ont pas.",80 algérien bénéficier fibre béjaïa ami,80 algériens bénéficié fibre béjaïa amis,négatif,problème réseau
Bon vendredi à tous les employés d’Algérie Télécom.,Bon vendredi à tous les employés d’Algérie Télécom.,Bon vendredi à tous les employés d’Algérie Télécom.,bon vendredi employé algérie télécom,bon vendredi employés algérie télécom,positif,
"J’ai un modem Idoom, je veux le changer pour un comme celui-ci, que dois-je faire ?,","J’ai un modem Idoom, je veux le changer pour un comme celui-ci, que dois-je faire ?","J’ai un modem Idoom, je veux le changer pour un comme celui-ci, que dois-je faire ?",modem idoom vouloir changer devoir je faire,modem idoom veux changer dois -je faire,positif,
"Cela fait 6 mois qu’on attend son activation, et vous ne faites que proposer de nouvelles offres… comprenez-vous au moins ce que vous faites ?,","Cela fait 6 mois qu’on attend son activation, et vous ne faites que proposer de nouvelles offres… comprenez-vous au moins ce que vous faites ?","Cela fait 6 mois qu’on attend son activation, et vous ne faites que proposer de nouvelles offres… comprenez-vous au moins ce que vous faites ?",6 mois attendre activation fait proposer nouveau offre comprendre vous fait,6 mois attend activation faites proposer nouvelles offres comprenez -vous faites,négatif,autre
"Quelles sont les démarches nécessaires pour bénéficier de cette offre ?,",Quelles sont les démarches nécessaires pour bénéficier de cette offre ?,Quelles sont les démarches nécessaires pour bénéficier de cette offre ?,démarche nécessaire bénéficier offre,démarches nécessaires bénéficier offre,positif,
"Quand l’offre promotionnelle se termine, est-ce que l’abonné peut choisir une autre offre ou est-il obligé de payer l’abonnement de 500 Mo ? Merci de répondre précisément.,","Quand l’offre promotionnelle se termine, est-ce que l’abonné peut choisir une autre offre ou est-il obligé de payer l’abonnement de 500 Mo ? Merci de répondre précisément.","Quand l’offre promotionnelle se termine, est-ce que l’abonné peut choisir une autre offre ou est-il obligé de payer l’abonnement de 500 Mo ? Merci de répondre précisément.",offre promotionnel termine -ce abonner choisir offre il obliger payer abonnemer 500 mo répondre précisément,offre promotionnelle termine -ce abonné choisir offre -il obligé payer abonnement 500 mo répondre précisément,positif,
"On n’a pas entendu parler de l’offre car nous n’avons pas la fibre.,",On n’a pas entendu parler de l’offre car nous n’avons pas la fibre.,On n’a pas entendu parler de l’offre car nous n’avons pas la fibre.,entendre offrir fibre,entendu offre fibre,neutre,
